group,version,rotation,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8
BASE,Direct,1,BONNET,LINEN,TODDLER,COLOR,FUEL,SECRETARY,JEWELRY,MUSICIAN
BASE,Direct,2,LINEN,TODDLER,COLOR,FUEL,SECRETARY,JEWELRY,MUSICIAN,BONNET
BASE,Direct,3,TODDLER,COLOR,FUEL,SECRETARY,JEWELRY,MUSICIAN,BONNET,LINEN
BASE,Direct,4,COLOR,FUEL,SECRETARY,JEWELRY,MUSICIAN,BONNET,LINEN,TODDLER
BASE,Direct,5,FUEL,SECRETARY,JEWELRY,MUSICIAN,BONNET,LINEN,TODDLER,COLOR
BASE,Direct,6,SECRETARY,JEWELRY,MUSICIAN,BONNET,LINEN,TODDLER,COLOR,FUEL
BASE,Direct,7,JEWELRY,MUSICIAN,BONNET,LINEN,TODDLER,COLOR,FUEL,SECRETARY
BASE,Direct,8,MUSICIAN,BONNET,LINEN,TODDLER,COLOR,FUEL,SECRETARY,JEWELRY
BASE,Reverse,1,HAT,CLOTH,CHILD,BLUE,COAL,ASSISTANT,NECKLACE,SINGER
BASE,Reverse,2,CLOTH,CHILD,BLUE,COAL,ASSISTANT,NECKLACE,SINGER,HAT
BASE,Reverse,3,CHILD,BLUE,COAL,ASSISTANT,NECKLACE,SINGER,HAT,CLOTH
BASE,Reverse,4,BLUE,COAL,ASSISTANT,NECKLACE,SINGER,HAT,CLOTH,CHILD
BASE,Reverse,5,COAL,ASSISTANT,NECKLACE,SINGER,HAT,CLOTH,CHILD,BLUE
BASE,Reverse,6,ASSISTANT,NECKLACE,SINGER,HAT,CLOTH,CHILD,BLUE,COAL
BASE,Reverse,7,NECKLACE,SINGER,HAT,CLOTH,CHILD,BLUE,COAL,ASSISTANT
BASE,Reverse,8,SINGER,HAT,CLOTH,CHILD,BLUE,COAL,ASSISTANT,NECKLACE
GROUP_1,Direct,1,SIGN,ENGINEERING,JEWELRY,BOAT,DUSK,COAL,PARROT,CREATIVITY
GROUP_1,Direct,2,ENGINEERING,JEWELRY,BOAT,DUSK,COAL,PARROT,CREATIVITY,SIGN
GROUP_1,Direct,3,JEWELRY,BOAT,DUSK,COAL,PARROT,CREATIVITY,SIGN,ENGINEERING
GROUP_1,Direct,4,BOAT,DUSK,COAL,PARROT,CREATIVITY,SIGN,ENGINEERING,JEWELRY
GROUP_1,Direct,5,DUSK,COAL,PARROT,CREATIVITY,SIGN,ENGINEERING,JEWELRY,BOAT
GROUP_1,Direct,6,COAL,PARROT,CREATIVITY,SIGN,ENGINEERING,JEWELRY,BOAT,DUSK
GROUP_1,Direct,7,PARROT,CREATIVITY,SIGN,ENGINEERING,JEWELRY,BOAT,DUSK,COAL
GROUP_1,Direct,8,CREATIVITY,SIGN,ENGINEERING,JEWELRY,BOAT,DUSK,COAL,PARROT
GROUP_1,Reverse,1,POSTER,PROFESSION,NECKLACE,FERRY,NIGHT,FUEL,BIRD,IMAGINATION
GROUP_1,Reverse,2,PROFESSION,NECKLACE,FERRY,NIGHT,FUEL,BIRD,IMAGINATION,POSTER
GROUP_1,Reverse,3,NECKLACE,FERRY,NIGHT,FUEL,BIRD,IMAGINATION,POSTER,PROFESSION
GROUP_1,Reverse,4,FERRY,NIGHT,FUEL,BIRD,IMAGINATION,POSTER,PROFESSION,NECKLACE
GROUP_1,Reverse,5,NIGHT,FUEL,BIRD,IMAGINATION,POSTER,PROFESSION,NECKLACE,FERRY
GROUP_1,Reverse,6,FUEL,BIRD,IMAGINATION,POSTER,PROFESSION,NECKLACE,FERRY,NIGHT
GROUP_1,Reverse,7,BIRD,IMAGINATION,POSTER,PROFESSION,NECKLACE,FERRY,NIGHT,FUEL
GROUP_1,Reverse,8,IMAGINATION,POSTER,PROFESSION,NECKLACE,FERRY,NIGHT,FUEL,BIRD
GROUP_2,Direct,1,MAIL,LINEN,FOOD,SPORT,DREAM,TREE,PROFIT,BLUE
GROUP_2,Direct,2,LINEN,FOOD,SPORT,DREAM,TREE,PROFIT,BLUE,MAIL
GROUP_2,Direct,3,FOOD,SPORT,DREAM,TREE,PROFIT,BLUE,MAIL,LINEN
GROUP_2,Direct,4,SPORT,DREAM,TREE,PROFIT,BLUE,MAIL,LINEN,FOOD
GROUP_2,Direct,5,DREAM,TREE,PROFIT,BLUE,MAIL,LINEN,FOOD,SPORT
GROUP_2,Direct,6,TREE,PROFIT,BLUE,MAIL,LINEN,FOOD,SPORT,DREAM
GROUP_2,Direct,7,PROFIT,BLUE,MAIL,LINEN,FOOD,SPORT,DREAM,TREE
GROUP_2,Direct,8,BLUE,MAIL,LINEN,FOOD,SPORT,DREAM,TREE,PROFIT
GROUP_2,Reverse,1,MESSAGE,CLOTH,CHOCOLATE,FOOTBALL,NIGHTMARE,OAK,INCOME,COLOR
GROUP_2,Reverse,2,CLOTH,CHOCOLATE,FOOTBALL,NIGHTMARE,OAK,INCOME,COLOR,MESSAGE
GROUP_2,Reverse,3,CHOCOLATE,FOOTBALL,NIGHTMARE,OAK,INCOME,COLOR,MESSAGE,CLOTH
GROUP_2,Reverse,4,FOOTBALL,NIGHTMARE,OAK,INCOME,COLOR,MESSAGE,CLOTH,CHOCOLATE
GROUP_2,Reverse,5,NIGHTMARE,OAK,INCOME,COLOR,MESSAGE,CLOTH,CHOCOLATE,FOOTBALL
GROUP_2,Reverse,6,OAK,INCOME,COLOR,MESSAGE,CLOTH,CHOCOLATE,FOOTBALL,NIGHTMARE
GROUP_2,Reverse,7,INCOME,COLOR,MESSAGE,CLOTH,CHOCOLATE,FOOTBALL,NIGHTMARE,OAK
GROUP_2,Reverse,8,COLOR,MESSAGE,CLOTH,CHOCOLATE,FOOTBALL,NIGHTMARE,OAK,INCOME
GROUP_3,Direct,1,MONEY,DIFFICULTY,ROOM,STRUGGLE,MARRIAGE,TODDLER,BASIL,SPEECH
GROUP_3,Direct,2,DIFFICULTY,ROOM,STRUGGLE,MARRIAGE,TODDLER,BASIL,SPEECH,MONEY
GROUP_3,Direct,3,ROOM,STRUGGLE,MARRIAGE,TODDLER,BASIL,SPEECH,MONEY,DIFFICULTY
GROUP_3,Direct,4,STRUGGLE,MARRIAGE,TODDLER,BASIL,SPEECH,MONEY,DIFFICULTY,ROOM
GROUP_3,Direct,5,MARRIAGE,TODDLER,BASIL,SPEECH,MONEY,DIFFICULTY,ROOM,STRUGGLE
GROUP_3,Direct,6,TODDLER,BASIL,SPEECH,MONEY,DIFFICULTY,ROOM,STRUGGLE,MARRIAGE
GROUP_3,Direct,7,BASIL,SPEECH,MONEY,DIFFICULTY,ROOM,STRUGGLE,MARRIAGE,TODDLER
GROUP_3,Direct,8,SPEECH,MONEY,DIFFICULTY,ROOM,STRUGGLE,MARRIAGE,TODDLER,BASIL
GROUP_3,Reverse,1,DOLLAR,TROUBLE,KITCHEN,EFFORT,FAMILY,CHILD,HERB,LECTURE
GROUP_3,Reverse,2,TROUBLE,KITCHEN,EFFORT,FAMILY,CHILD,HERB,LECTURE,DOLLAR
GROUP_3,Reverse,3,KITCHEN,EFFORT,FAMILY,CHILD,HERB,LECTURE,DOLLAR,TROUBLE
GROUP_3,Reverse,4,EFFORT,FAMILY,CHILD,HERB,LECTURE,DOLLAR,TROUBLE,KITCHEN
GROUP_3,Reverse,5,FAMILY,CHILD,HERB,LECTURE,DOLLAR,TROUBLE,KITCHEN,EFFORT
GROUP_3,Reverse,6,CHILD,HERB,LECTURE,DOLLAR,TROUBLE,KITCHEN,EFFORT,FAMILY
GROUP_3,Reverse,7,HERB,LECTURE,DOLLAR,TROUBLE,KITCHEN,EFFORT,FAMILY,CHILD
GROUP_3,Reverse,8,LECTURE,DOLLAR,TROUBLE,KITCHEN,EFFORT,FAMILY,CHILD,HERB
GROUP_4,Direct,1,PRESIDENT,CIRCLE,HOTEL,ENTRY,LEASE,COIN,BROTH,MEAT
GROUP_4,Direct,2,CIRCLE,HOTEL,ENTRY,LEASE,COIN,BROTH,MEAT,PRESIDENT
GROUP_4,Direct,3,HOTEL,ENTRY,LEASE,COIN,BROTH,MEAT,PRESIDENT,CIRCLE
GROUP_4,Direct,4,ENTRY,LEASE,COIN,BROTH,MEAT,PRESIDENT,CIRCLE,HOTEL
GROUP_4,Direct,5,LEASE,COIN,BROTH,MEAT,PRESIDENT,CIRCLE,HOTEL,ENTRY
GROUP_4,Direct,6,COIN,BROTH,MEAT,PRESIDENT,CIRCLE,HOTEL,ENTRY,LEASE
GROUP_4,Direct,7,BROTH,MEAT,PRESIDENT,CIRCLE,HOTEL,ENTRY,LEASE,COIN
GROUP_4,Direct,8,MEAT,PRESIDENT,CIRCLE,HOTEL,ENTRY,LEASE,COIN,BROTH
GROUP_4,Reverse,1,EXECUTIVE,SHAPE,LODGE,DOOR,CONTRACT,PENNY,SOUP,BEEF
GROUP_4,Reverse,2,SHAPE,LODGE,DOOR,CONTRACT,PENNY,SOUP,BEEF,EXECUTIVE
GROUP_4,Reverse,3,LODGE,DOOR,CONTRACT,PENNY,SOUP,BEEF,EXECUTIVE,SHAPE
GROUP_4,Reverse,4,DOOR,CONTRACT,PENNY,SOUP,BEEF,EXECUTIVE,SHAPE,LODGE
GROUP_4,Reverse,5,CONTRACT,PENNY,SOUP,BEEF,EXECUTIVE,SHAPE,LODGE,DOOR
GROUP_4,Reverse,6,PENNY,SOUP,BEEF,EXECUTIVE,SHAPE,LODGE,DOOR,CONTRACT
GROUP_4,Reverse,7,SOUP,BEEF,EXECUTIVE,SHAPE,LODGE,DOOR,CONTRACT,PENNY
GROUP_4,Reverse,8,BEEF,EXECUTIVE,SHAPE,LODGE,DOOR,CONTRACT,PENNY,SOUP
GROUP_5,Direct,1,SCENT,TOAST,DISEASE,STUDENT,HAT,DRESS,ORGAN,LAPTOP
GROUP_5,Direct,2,TOAST,DISEASE,STUDENT,HAT,DRESS,ORGAN,LAPTOP,SCENT
GROUP_5,Direct,3,DISEASE,STUDENT,HAT,DRESS,ORGAN,LAPTOP,SCENT,TOAST
GROUP_5,Direct,4,STUDENT,HAT,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE
GROUP_5,Direct,5,HAT,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT
GROUP_5,Direct,6,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT
GROUP_5,Direct,7,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT,DRESS
GROUP_5,Direct,8,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT,DRESS,ORGAN
GROUP_5,Reverse,1,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER
GROUP_5,Reverse,2,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR
GROUP_5,Reverse,3,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD
GROUP_5,Reverse,4,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS
GROUP_5,Reverse,5,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE
GROUP_5,Reverse,6,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET
GROUP_5,Reverse,7,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN
GROUP_5,Reverse,8,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY
GROUP_6,Direct,1,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT
GROUP_6,Direct,2,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE
GROUP_6,Direct,3,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING
GROUP_6,Direct,4,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY
GROUP_6,Direct,5,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY
GROUP_6,Direct,6,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN
GROUP_6,Direct,7,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER
GROUP_6,Direct,8,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY
GROUP_6,Reverse,1,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE
GROUP_6,Reverse,2,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY
GROUP_6,Reverse,3,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET
GROUP_6,Reverse,4,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER
GROUP_6,Reverse,5,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE
GROUP_6,Reverse,6,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE
GROUP_6,Reverse,7,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT
GROUP_6,Reverse,8,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT
